,Unnamed: 0,index,question,context,text,answer_start,c_id,english
0,0,56be85543aeaaa14008c9063,Beyonce ne zaman popüler olmaya başladı?,"Beyoncé Giselle Knowles-Carter (d. 4 Eylül 1981), ABD'li şarkıcı, söz yazarı, prodüktör ve aktris. Houston, Teksas'ta doğup büyüdü, çocukken çeşitli şarkı ve dans yarışmalarında sahne aldı ve 1990'ların sonlarında R&B kız grubu Destiny's Child'ın solisti olarak ün kazandı. Babası Mathew Knowles tarafından yönetilen grup tüm zamanların en çok satan kız gruplarından biri oldu. Beyoncé'nin ilk albümü Dangerously in Love'ın (2003) yayınlanmasını izlemiştir ve beş Grammy Ödülü kazanmış ve Billboard Hot 100 bir numaralı single'ları “Crazy in Love” ve “Baby Boy""un yer aldığı Beyoncé'nin ilk albümü Dangerously in Love (2003) yayınlandı.",1990'ların sonlarında,192.0,0,"<pad> Beyoncé Giselle Knowles-Carter (born September 4, 1981) is an American singer, songwriter, producer and actress. She was born and raised in Houston, Texas, performed in various singing and dancing contests as a child, and was awarded the R&B girls' R&B band Destiny's Child in the late 1990s, and was named as the lead singer of her father, Mathew Knowles, one of the best-selling girls of all time.</s>"
1,15,56be86cf3aeaaa14008c9076,İkinci solo albümünden sonra Beyonce başka hangi eğlence girişimi keşfetti?,"Haziran 2005'te Destiny's Child'ın dağıtılmasının ardından “Déjà Vu”, “Irreplaceable” ve “Beautiful Liar” isimli ikinci solo albümü B'Day'i (2006) yayımladı. Beyoncé, Dreamgirls (2006) filminde Golden Globe adayı performansı ile oyunculuğa atıldı ve The Pink Panther (2006) ve Obsessed (2009) filmlerinde rol aldı. Rapçi Jay Z ile evliliği ve Cadillac Records (2008) Etta James'in tasviri üçüncü albümü I Am'i etkiledi... Sasha Fierce (2008), alternatif egosu Sasha Fierce'ın doğumunu gördü ve 2010 yılında “Single Ladies (Put a Ring on It)” dalında Yılın Şarkısı da dahil olmak üzere altı Grammy Ödülü kazandı. Beyoncé 2010 yılında müzikten bir ara aldı ve kariyerinin yönetimini devraldı; dördüncü albümü 4 (2011) daha sonra 1970'lerin funk, 1980'lerin pop ve 1990'ların ruhunu keşfetti. Eleştirel beğeni toplayan beşinci stüdyo albümü Beyoncé (2013), deneysel prodüksiyonu ve daha koyu temalar keşfi ile önceki sürümlerden ayırt edildi.",oyunculuğ,229.0,1,"<pad> In June 2005, after the disbanding of Destiny's Child, he was cast as an actor in the films of ""Déjà Vu,"" ""Irrreplaceable"" and ""Beautiful Liar Τ,"" his second solo album, ""B'Day"" (2006). Beyoncé was influenced by James' third album in the film ""Dreamgirls"" (2006), and ""The Pink Panther"" (2006), and ""Obsesed"" (2009). Rapist Jay Z and Cadillac Records (2008).</s>"
2,27,56be88473aeaaa14008c9080,"Onun müziğinde, içinde yinelenen bazı unsurlar nelerdir?","Kendini tanımlayan “modern feminist” Beyoncé, genellikle sevgi, ilişkiler ve tek eşlilik temalarının yanı sıra kadın cinselliği ve güçlendirme ile karakterize şarkılar yaratır. Sahnede, dinamik, yüksek koreografili performansları eleştirmenlerin onu çağdaş popüler müziğin en iyi şovmenlerinden biri olarak selamlamlamalarına yol açtı. 19 yıllık kariyeri boyunca, yalnız bir sanatçı olarak 118 milyondan fazla plak sattı ve Destiny's Child ile 60 milyon daha sattı ve onu tüm zamanların en çok satan müzik sanatçılarından biri haline getirdi. 20 Grammy Ödülü kazandı ve ödül tarihinin en çok aday gösterilen kadınıdır. Amerika Kayıt Endüstrisi Birliği, 2000'li yılların on yıllarında Amerika'nın En İyi Sertifikalı Sanatçısı olarak tanıdı. 2009 yılında Billboard, 2011 yılında “On Yılın En İyi Radyo Şarkıları Sanatçısı”, 2000'lerin En İyi Kadın Sanatçısı ve Millennium Sanatçısı seçmiştir. Zaman, 2013 ve 2014 yıllarında dünyanın en etkili 100 insanı arasında yer aldı. Forbes dergisi de onu 2015 yılının en güçlü kadın müzisyeni olarak listeledi.","vgi, ilişkiler ve tek eşlilik",59.0,2,"<pad> In his 19-year career, Beyoncé has sold more than 118 million records as a single artist, as well as with the theme of love, relationships and monogamy, as well as with female sexuality and empowerment. On stage, he has won the dynamic, high choreography performances as one of the best performers of contemporary popular music, and has won the 20 Grammy Awards as one of the most nominated women in the history of modern popular music. During his 19-year career, he has sold more than 118 million records as a single artist, and has sold 60 million copies with Destiny's Child and has made him one of all-time best-selling music artists. He has won the award in the year of the United States. In 2009, he has selected the best female artist of the United States.</s>"
3,39,56be892d3aeaaa14008c908b,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,"Beyoncé Giselle Knowles, Kuaför ve kuaför sahibi Celestine Ann “Tina” Knowles (kızlık kardeşi Beyincé) ve Xerox satış müdürü Mathew Knowles'ın oğlu olarak Houston, Teksas'ta doğdu. Beyoncé'nin adı annesinin kızlık soyadına bir övgü. Beyoncé'nin kız kardeşi Solange aynı zamanda bir şarkıcı ve Destiny's Child'ın eski bir üyesidir. Mathew Afrikalı-Amerikalı, Tina ise Louisiana Creole kökenli (Afrika, Amerikan Yerlisi, Fransız, Cajun ve uzak İrlandalı ve İspanyol kökenli). Annesi aracılığıyla Beyoncé, Akademisyen lideri Joseph Broussard'ın soyundan geliyor. Metodist bir evde büyüdü.",Kaderin Çocuğu,0.0,3,"<pad> Beyoncé Giselle Knowles, hairdresser and hairdresser, is a former member of her sister Celestine Ann, Tina, and Xerox sales manager Mathew Knowles, born in Houston, Texas. Beyoncé's mother's maiden name is a tribute to her maiden name. Beyoncé's sister Solange is also a singer and a former member of Destiny's Child. Mathew is an African-American, and Tina is a Louisiana Creole native (Africa, native, French, French, French, and French).</s>"
4,52,56be8a583aeaaa14008c9094,Beyonce hangi kasabada okudu?,"Beyoncé, Fredericksburg, Teksas'taki St. Mary's İlkokulu'na katıldı ve burada dans derslerine kayıt oldu. Dans eğitmeni Darlette Johnson bir şarkı mırıldanmaya başladığında şarkı söyleme yeteneğini keşfetti ve yüksek perdeli notalara ulaşabildi. Beyoncé'nin müziğe ve performansına olan ilgisi, yedi yaşında bir okul yetenek şovunu kazandıktan sonra John Lennon'ın “Imagine” şarkısını söyleyerek 15/16 yaşındakileri yendi. 1990 sonbaharında Beyoncé, Houston'da bir müzik mıknatıs okulu olan Parker İlköğretim Okulu'na kayıt yaptırdı. Ayrıca Sahne ve Görsel Sanatlar Lisesi'ne ve daha sonra Alief Elsik'e katıldı. Beyoncé ayrıca St. John's United Methodist Kilisesi'nde iki yıl solist olarak koro üyesiydi.",Fredericksburg,9.0,4,"<pad> Beyoncé attended St. Mary's Elementary School in Fredericksburg, Texas, where she enrolled in dance lessons. When her dance instructor Darlene Johnson started humming a song, she discovered her ability to sing and reached high-pitched notes. Beyoncé's interest in music and performance, after winning a seven-year-old school talent show, John Lennon beat 15/16-year-olds. In the fall 1990, Beyoncé registered at a music station in Houston, Parker Elementary School. She was also a member of the Art School of Arts and was a member of the United States.</s>"
5,63,56be8bab3aeaaa14008c909f,Kim Beyonce'ın grubunu Yıldız Arama'ya yerleştirmeye karar verdi?,"Beyoncé ve çocukluk arkadaşı Kelly Rowland sekiz yaşında LaTavia Roberson ile bir araya geldi. Girl's Tyme gibi diğer üç kızla bir gruba yerleştirildiler ve Houston'daki yetenek gösterisi pistinde rap yapıp dans ettiler. Grubu gördükten sonra, R&B yapımcısı Arne Frager onları Kuzey Kaliforniya stüdyosuna getirdi ve o zamanlar ulusal televizyondaki en büyük yetenek gösterisi olan Star Search'e yerleştirdi. Girl's Tyme kazanamadı ve Beyoncé daha sonra seslendirdikleri şarkının iyi olmadığını söyledi. 1995 yılında Beyoncé'nin babası grubu yönetmek için görevinden istifa etti. Hareket Beyoncé'nin ailesinin gelirini yarı yarıya düşürdü ve ailesi ayrı dairelere taşınmak zorunda kaldı. Mathew orijinal sırayı dörde çıkardı ve grup diğer kurulan R&B kız grupları için açılış eylemi olarak devam etti. Kızlar plak şirketlerinden önce seçmelere katıldılar ve en sonunda Elektra Records'a imza attılar. Kısa bir süre Atlanta Records'a taşındılar, sadece şirket tarafından kesildi. Bu, aileyi daha da zorladı ve Beyoncé'nin ailesi ayrıldı. 5 Ekim 1995'te Dwayne Wiggins'in Grass Roots Entertainment grubu imzaladı. 1996'da kızlar Sony Music ile yapılan bir anlaşmayla ilk albümlerini kaydetmeye başladılar, Knowles ailesi bir araya geldi ve kısa bir süre sonra grup Columbia Records ile sözleşme yaptı.",Arne Frager,258.0,5,"<pad> Beyoncé and her childhood friend Kelly Rowland met with LaTavia Roberson at the age of eight. They were placed in a group with three other girls like Girl's Tyme, and they rapped and danced on the talent show in Houston. After seeing the group, R&B producer Arne Frager brought them to the North California studio, and then the biggest talent show on national television, put them in Star Search. Girl's Tyme couldn't win, and Beyoncé later signed up for the song that they performed at the talent show in Houston. In 1995 Beyoncé's father resigned to run the group. Beyoncé's family came in half of Beyoncé's family, and they signed up with a group of girls who had already signed up for an opening act, and then signed up with the band of the four other girls from the band.</s>"
6,76,56be8c8a3aeaaa14008c90a9,Hangi filmde Destiny's Child'ın ilk büyük single'ı vardı?,"Grup, 1996 yılında İsimlerini Destiny's Child olarak değiştirdi ve Isaiah Kitabı'nda yer alan bir pasajla. 1997 yılında Destiny's Child, 1997 yılında Men in Black filminin film müziğinde ilk şarkısı “Killing Time""ı yayınladı. Ertesi yıl, grup ilk büyük hit olan “No, No, No “adlı albümlerini yayımladı. Albüm, grup üç Soul Train Lady of Soul Ödülleri Yılın En İyi R&B/Soul Albümü, En İyi R&B/Soul veya Rap Yeni Sanatçısı ve “No, No, No “ile En İyi R&B/Soul Single dalında “Soul Single” ödülünü kazanarak müzik endüstrisinde canlı bir rol oynadı. Grup 1999'da çok platinli ikinci albümü The Writing on the Wall yayınladı. Kayıtta grubun en çok bilinen şarkıları “Bills, Bills, Bills”, grubun ilk bir numaralı single'ı olan “Jumpin' Jumpin' ve “Say My Name” gibi şarkıları yer alıyor ve bu şarkıların en başarılı şarkılarından biri olmaya devam ediyor. “Say My Name”, 43. Grammy Ödülleri'nde En İyi İkili veya Grubun Vokalli R&B Performansı ve En İyi R&B Şarkısı ödülünü kazandı. The Writing on the Wall dünya çapında sekiz milyondan fazla kopya sattı. Bu süre zarfında Beyoncé, Boyz II Men'in orijinal üyesi Marc Nelson ile “After All Is Said and Done” adlı şarkısıyla “The Best Man” filminin film müziği için bir düet kaydetti.",Siyah Giyen Erkekler,0.0,6,"<pad> In 1996, the band changed their names to Destiny's Child in the Book of Isaiah. In 1997, Destiny's Child released its first song in Men in Black's film, the Best R&B/Soulting Time. The following year, the band released its first major hit album, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No.</s>"
7,89,56be8d423aeaaa14008c90b2,Beyonce hangi ruh sağlığı sorunundan geçti?,"LeToya Luckett ve Roberson, Mathew'in grubu yönetmesinden mutsuz oldular ve sonunda Farrah Franklin ve Michelle Williams tarafından değiştirildi. Beyoncé, medya, eleştirmenler ve bloglar tarafından kamuya açık olarak suçlandıktan sonra Luckett ve Roberson ile ayrıldıktan sonra depresyon yaşadı. Uzun süredir devam eden erkek arkadaşı onu terk etti. Depresyon o kadar şiddetliydi ki birkaç yıl sürdü ki bu süre zarfında bazen kendini yatak odasında günlerce sakladı ve hiçbir şey yemeyi reddetti. Beyoncé, Destiny's Child ilk Grammy Ödülü'nü kazandığı için depresyonundan bahsetti ve kimsenin onu ciddiye almayacağından korktu. Beyoncé daha sonra annesinden, onunla savaşmasına yardım eden kişi olarak bahsederdi. Franklin kovuldu, sadece Beyoncé, Rowland ve Williams'tan ayrıldı.",depresyon,278.0,7,"<pad> LeToya Luckett and Roberson were unhappy with Mathew's leadership, and eventually changed by Farrah Franklin and Michelle Williams. Beyoncé spoke of her depression after being publicly accused by media, critics and blogs. After leaving with Luckett and Roberson, her long-standing boyfriend left her. Depression was so violent that during this period, she hid herself in her bedroom for days and refused to eat anything. Beyoncé spoke of her depression because she won the Destiny's Child Award and feared that no one would take her seriously.</s>"
8,99,56be8e353aeaaa14008c90c6,“Charlie'nin Melekleri” grup üyelerinden hangi single'ı yayınladı?,"Geriye kalan grup üyeleri 2000 filmi Charlie's Angels filminin film müziğinde yer alan “Independent Women Part I” i kaydettiler. En iyi grafik single'ı oldu ve üst üste on bir hafta boyunca ABD Billboard Hot 100 listesinde zirveye çıktı. 2001'in başlarında Destiny's Child üçüncü albümlerini tamamlarken Beyoncé, Amerikalı aktör Mekhi Phifer ile birlikte MTV yapımı Carmen: A Hip Hopera'da önemli bir rol oynadı. Philadelphia'da geçen film, Fransız besteci Georges Bizet'in 19. yüzyıl operasının modern bir yorumudur. Üçüncü albüm Survivor Mayıs 2001'de piyasaya sürüldüğünde, Luckett ve Roberson şarkıların onlara yönelik olduğunu iddia ederek dava açtılar. Albüm, ilk hafta 663.000 kopya satışla ABD Billboard 200'e bir numaradan giriş yaptı. Albüm diğer bir numaralı şarkılar, “Bootylicious” ve “Survivor” adlı şarkıyı ortaya çıkardı ve ikincisi gruba En İyi İkili R&B Performansı dalında Grammy Ödülü'nü kazandı. Ekim 2001'de tatil albümlerini 8 Days of Christmas yayınladıktan sonra grup, solo kariyerlerini daha fazla sürdürmek için bir ara duyurdu.",Bağımsız Kadın Bölüm I,0.0,8,"<pad> The remaining members of the 2000 film Charlie's Angels film, along with American actor Mekhi Phifer, recorded MTV production Carmen: A Hip Hopera played an important role in the best graphic single, and for 11 consecutive weeks, the film peaked on the US Billboard Hot 100 chart. The third edition of the United States Billboard Hot 100 was the third edition of Destiny's Child's Child in 2001. Beyoncé released her first albums in May 2001, with an album by American actor Mekhi Phifer: A Hip Hopera. The film was released in Philadelphia, with the album ""A Hip Hopera,"" a song by Robert Georges Wester.</s>"
9,110,56be8fdf3aeaaa14008c90da,“Austin Powers in Goldmember” filminde Beyonce kiminle oynadı?,"Temmuz 2002'de Beyoncé oyunculuk kariyerine Mike Myers'la birlikte Foxxy Kleopatra'yı oynamaya devam etti ve ilk hafta sonunu ABD gişesinin tepesinde geçirdi ve 73 milyon dolar hasara uğradı. Beyoncé, Birleşik Krallık, Norveç ve Belçika'da ilk 10'a giren film müziği albümünün baş single'ı olarak “Work It Out” yayınladı. 2003 yılında Beyoncé, Cuba Gooding, Jr.'ın karşısında oynadığı müzikal komedi The Fighting Temptations'da Gooding'in karakterine aşık olduğu bekar bir anne olan Lilly olarak oynadı. Film eleştirmenlerden karışık eleştiriler aldı, ancak ABD'deki Beyoncé'nin film müziği albümünün baş single'ı olarak “Fighting Temptation""ı yayımladı; ayrıca filmi tanıtmak için kullanılan Missy Elliott, MC Lyte ve Free ile birlikte yayınladı. Beyoncé'nin film müziğine katkılarından biri olan “Summertime”, ABD listelerinde daha iyi oldu.",Mike Myers,44.0,9,"<pad> In July 2002, Beyoncé continued her acting career with Mike Myers, playing Foxxy Cleopatra, and spent her first weekend at the top of the US box office, and 73 million dollars were damaged. Beyoncé played as a single mother in the United Kingdom, Norway and Belgium, who became the top 10 of her film album's debut single, but was a mixed critic of the United States film album ""Work It Outbook."" In 2003 Beyoncé, Cuba Gooding, Jr.'s musical comedy was released in front of The Fighting Temptations.</s>"
